0001 Halden;3001 Halden;25 916;;14,31;;1 811
0002 Sponvika;3001 Halden;538;;0,41;;1 320
0003 Isebakke;3001 Halden;861;;1,55;;555
0006 Solbakken-Sofienberg;3001 Halden;218;;0,21;;1 024
0012 Hasle;3003 Sarpsborg;694;;0,53;;1 312
0013 Stikkaåsen;3003 Sarpsborg;209;;0,13;;1 668
0022 Fredrikstad/Sarpsborg i alt;;118 992;;60,09;;1 980
;3004 Fredrikstad;;70 161;;35,60;1 971
;3003 Sarpsborg;;48 831;;24,49;1 994
0031 Moss i alt;;48 477;;22,22;;2 182
;3002 Moss;;42 043;;18,27;2 301
;3019 Vestby;;6 434;;3,95;1 629
0033 Såstadbråten;3002 Moss;428;;0,27;;1 572
0041 Skjærhalden;3011 Hvaler;936;;0,85;;1 097
0042 Rød;3011 Hvaler;687;;0,39;;1 768
0043 Hauge;3011 Hvaler;407;;0,46;;879
0044 Utgård;3011 Hvaler;324;;0,32;;1 015
0045 Norderhaug;3011 Hvaler;603;;0,50;;1 217
0051 Skivika i alt;;1 075;;0,51;;2 106
;3004 Fredrikstad;;1 050;;0,50;2 088
;3003 Sarpsborg;;25;;0,01;3 319
0053 Glosli;3004 Fredrikstad;773;;0,56;;1 375
0054 Holm;3004 Fredrikstad;253;;0,24;;1 064
0061 Ise;3003 Sarpsborg;718;;0,62;;1 159
0071 Skjeberg;3003 Sarpsborg;1 522;;0,93;;1 643
0072 Høysand;3003 Sarpsborg;737;;0,89;;827
0081 Ørje;3013 Marker;1 849;;1,69;;1 092
0091 Skjønhaug;3014 Indre Østfold;2 094;;1,77;;1 185
0092 Hamnås;3014 Indre Østfold;234;;0,26;;884
0093 Heiås;3014 Indre Østfold;896;;0,88;;1 020
0101 Spydeberg;3014 Indre Østfold;6 419;;3,68;;1 743
0111 Askim;3014 Indre Østfold;14 651;;7,57;;1 936
0121 Mysen;3014 Indre Østfold;6 882;;4,72;;1 459
0122 Slitu;3014 Indre Østfold;778;;0,66;;1 172
0123 Trømborg;3014 Indre Østfold;242;;0,22;;1 093
0124 Finnestad;3014 Indre Østfold;220;;0,22;;1 017
0125 Jansberg;3014 Indre Østfold;263;;0,18;;1 496
0131 Skiptvet;3015 Skiptvet;1 829;;1,19;;1 534
0141 Rakkestad;3016 Rakkestad;4 855;;3,57;;1 360
0142 Degernes;3016 Rakkestad;324;;0,32;;1 020
0151 Jelsnes;3003 Sarpsborg;326;;0,22;;1 515
0161 Rostadneset;3004 Fredrikstad;280;;0,15;;1 884
0172 Lunde;3004 Fredrikstad;475;;0,24;;1 981
0181 Øyenkilen;3004 Fredrikstad;467;;0,54;;865
0182 Slevik;3004 Fredrikstad;1 166;;0,88;;1 325
0185 Lervik;3004 Fredrikstad;3 343;;2,28;;1 466
0191 Spetalen i alt;;2 318;;1,71;;1 356
;3017 Råde;;2 194;;1,51;1 450
;3004 Fredrikstad;;124;;0,20;631
0193 Karlshus;3017 Råde;2 327;;1,95;;1 193
0194 Missingmyr;3017 Råde;929;;0,93;;1 003
0195 Tomb;3017 Råde;284;;0,38;;742
0201 Halmstad i alt;;3 408;;1,82;;1 875
;3002 Moss;;3 294;;1,67;1 971
;3017 Råde;;114;;0,15;780
0202 Larkollen;3002 Moss;1 507;;1,56;;966
0203 Kirkegrenda;3002 Moss;329;;0,30;;1 086
0204 Fuglevik;3002 Moss;495;;0,35;;1 404
0206 Møvik;3002 Moss;244;;0,23;;1 053
0211 Kirkebygden;3018 Våler (Viken);1 484;;1,00;;1 485
