0001 Halden;3001 Halden;25 887;;14,23;;1 819
0002 Sponvika;3001 Halden;534;;0,41;;1 316
0003 Isebakke;3001 Halden;877;;1,55;;566
0012 Hasle;3003 Sarpsborg;672;;0,64;;1 054
0013 Stikkaåsen;3003 Sarpsborg;219;;0,14;;1 597
0022 Fredrikstad/Sarpsborg i alt;;117 663;;59,95;;1 963
;3004 Fredrikstad;;69 568;;35,50;1 959
;3003 Sarpsborg;;48 095;;24,45;1 967
0031 Moss i alt;;47 725;;22,13;;2 157
;3002 Moss;;41 440;;18,23;2 274
;3019 Vestby;;6 285;;3,90;1 612
0033 Såstadbråten;3002 Moss;422;;0,27;;1 550
0041 Skjærhalden;3011 Hvaler;927;;0,85;;1 090
0042 Rød;3011 Hvaler;668;;0,39;;1 706
0043 Hauge;3011 Hvaler;406;;0,46;;890
0044 Utgård;3011 Hvaler;321;;0,31;;1 022
0045 Norderhaug;3011 Hvaler;609;;0,49;;1 238
0051 Skivika i alt;;1 081;;0,50;;2 171
;3004 Fredrikstad;;1 059;;0,49;2 159
;3003 Sarpsborg;;22;;0,01;2 930
0053 Glosli;3004 Fredrikstad;761;;0,57;;1 343
0054 Holm;3004 Fredrikstad;237;;0,22;;1 058
0061 Ise;3003 Sarpsborg;703;;0,63;;1 117
0071 Skjeberg;3003 Sarpsborg;1 498;;0,92;;1 623
0072 Høysand;3003 Sarpsborg;658;;0,81;;808
0081 Ørje;3013 Marker;1 849;;1,69;;1 092
0091 Skjønhaug;3014 Indre Østfold;2 082;;1,74;;1 197
0092 Hamnås;3014 Indre Østfold;222;;0,26;;865
0093 Heiås;3014 Indre Østfold;861;;0,86;;996
0101 Spydeberg;3014 Indre Østfold;6 340;;3,63;;1 749
0111 Askim;3014 Indre Østfold;14 755;;7,65;;1 928
0121 Mysen;3014 Indre Østfold;6 759;;4,71;;1 436
0122 Slitu;3014 Indre Østfold;782;;0,66;;1 182
0123 Trømborg;3014 Indre Østfold;237;;0,22;;1 070
0124 Finnestad;3014 Indre Østfold;211;;0,22;;980
0125 Jansberg;3014 Indre Østfold;251;;0,18;;1 427
0131 Skiptvet;3015 Skiptvet;1 768;;1,16;;1 518
0141 Rakkestad;3016 Rakkestad;4 796;;3,57;;1 345
0142 Degernes;3016 Rakkestad;313;;0,32;;983
0151 Jelsnes;3003 Sarpsborg;319;;0,21;;1 508
0161 Rostadneset;3004 Fredrikstad;277;;0,15;;1 909
0172 Lunde;3004 Fredrikstad;489;;0,24;;2 041
0181 Øyenkilen;3004 Fredrikstad;318;;0,39;;825
0182 Slevik;3004 Fredrikstad;1 110;;0,85;;1 302
0185 Lervik;3004 Fredrikstad;3 268;;2,36;;1 385
0191 Spetalen i alt;;2 326;;1,73;;1 345
;3017 Råde;;2 212;;1,59;1 391
;3004 Fredrikstad;;114;;0,14;821
0193 Karlshus;3017 Råde;2 314;;2,09;;1 105
0194 Missingmyr;3017 Råde;901;;0,91;;993
0195 Tomb;3017 Råde;281;;0,40;;704
0201 Halmstad i alt;;3 316;;1,68;;1 970
;3002 Moss;;3 211;;1,54;2 082
;3017 Råde;;105;;0,14;748
0202 Larkollen;3002 Moss;1 529;;1,56;;978
0203 Kirkegrenda;3002 Moss;324;;0,30;;1 070
0204 Fuglevik;3002 Moss;513;;0,35;;1 454
0206 Møvik;3002 Moss;256;;0,23;;1 120
0211 Kirkebygden;3018 Våler (Viken);1 448;;0,96;;1 502
0212 Våk;3018 Våler (Viken);946;;0,50;;1 881
0213 Svinndal;3018 Våler (Viken);571;;0,43;;1 330
0214 Rød;3018 Våler (Viken);982;;0,34;;2 870
0221 Tomter;3014 Indre Østfold;2 089;;1,08;;1 940
0223 Ringvoll;3014 Indre Østfold;531;;0,45;;1 177
0503 Hølen;3019 Vestby;1 061;;0,67;;1 583
0508 Vestby;3019 Vestby;7 981;;3,57;;2 236
0511 Siggerud;3020 Nordre Follo;1 474;;0,73;;2 012
0512 Ski i alt;;20 519;;9,86;;2 082
;3020 Nordre Follo;;14 034;;5,73;2 451
;3021 Ås;;6 485;;4,13;1 569
0513 Kråkstad;3020 Nordre Follo;1 107;;0,57;;1 948
0514 Skotbu;3020 Nordre Follo;466;;0,20;;2 377
0515 Sandvoll;3020 Nordre Follo;275;;0,30;;906
0523 Ås;3021 Ås;10 725;;4,73;;2 267
0531 Drøbak;3022 Frogn;13 522;;6,19;;2 185
0541 Nesoddtangen;3023 Nesodden;13 150;;6,27;;2 099
0542 Fjellstrand;3023 Nesodden;1 283;;0,98;;1 306
0543 Fagerstrand;3023 Nesodden;2 854;;1,82;;1 570
0544 Torvik;3023 Nesodden;417;;0,38;;1 104
0551 Lommedalen;3024 Bærum;11 225;;4,08;;2 749
0572 Konglungen;3025 Asker;276;;0,21;;1 285
0581 Aursmoen;3026 Aurskog-Høland;3 483;;2,22;;1 569
0582 Bjørkelangen;3026 Aurskog-Høland;3 949;;2,86;;1 381
0584 Løken;3026 Aurskog-Høland;1 650;;1,49;;1 105
0585 Momoen;3026 Aurskog-Høland;499;;0,41;;1 220
0586 Hemnes;3026 Aurskog-Høland;745;;0,71;;1 052
0592 Blaker;3030 Lillestrøm;462;;0,44;;1 053
0593 Hogsetfeltet;3030 Lillestrøm;925;;0,42;;2 226
0594 Sørumsand;3030 Lillestrøm;5 353;;2,23;;2 400
0595 Lørenfallet;3030 Lillestrøm;1 101;;0,66;;1 672
0596 Lindeberg;3030 Lillestrøm;1 199;;0,69;;1 746
0597 Frogner;3030 Lillestrøm;1 557;;0,68;;2 276
0598 Lundermoen;3030 Lillestrøm;1 467;;0,67;;2 202
0601 Åkrene;3030 Lillestrøm;372;;0,23;;1 639
0603 Fjellsrud;3030 Lillestrøm;601;;0,42;;1 437
0609 Fetsund-Østersund;3030 Lillestrøm;8 584;;4,19;;2 047
